"","Horse","X1.4","X1.2","X3.4","X1m","Str","Finish"
"1","Mine That Bird",19,19,19,12,1,1
"2","Pioneer of the Nile",3,3,4,2,2,2
"3","Musket Man",8,8,7,7,4,3
"4","Papa Clem",5,4,3,4,3,4
"5","Chocolate Candy",17,12,15,8,7,5
"6","Summer Bird",16,16,16,15,9,6
"7","Join in the Dance",1,1,1,1,5,7
"8","Regal Ransom",2,2,2,3,6,8
"9","West Side Bernie",13,17,14,17,13,9
"10","General Quarters",12,13,11,10,10,10
"11","Dunkirk",9,10,9,11,12,11
"12","Hold Me Back",14,5,6,5,8,12
"13","Advice",15,15,17,13,14,13
"14","Desert Party",4,6,5,6,11,14
"15","Mr. Hot Stuff",18,18,18,16,16,15
"16","Atomic Rain",10,9,10,9,15,16
"17","Nowhere to Hide",11,14,12,18,18,17
"18","Friesan Fire",6,7,8,14,17,18
"19","Flying Private",7,11,13,19,19,19
